name,mentions,week
Don Draper,1,2015-03-29
Don Draper,1,2015-04-05
Don Draper,0,2015-04-12
Don Draper,0,2015-04-19
Don Draper,2,2015-04-26
Don Draper,0,2015-05-03
Don Draper,2,2015-05-10
Don Draper,2,2015-05-17
Don Draper,1,2015-05-24
Don Draper,0,2015-03-22
Don Draper,0,2015-03-15
Don Draper,0,2015-03-08
Don Draper,0,2015-03-01
Don Draper,0,2015-02-22
Don Draper,0,2015-02-15
Don Draper,0,2015-05-31
Don Draper,0,2015-06-07
Don Draper,0,2015-06-14
Michael Jackson,1,2015-02-15
Michael Jackson,1,2015-02-22
Michael Jackson,0,2015-03-01
Michael Jackson,0,2015-03-08
Michael Jackson,1,2015-03-15
Michael Jackson,0,2015-03-22
Michael Jackson,0,2015-03-29
Michael Jackson,2,2015-04-05
Michael Jackson,2,2015-04-12
Michael Jackson,0,2015-04-19
Michael Jackson,1,2015-04-26
Michael Jackson,1,2015-05-03
Michael Jackson,4,2015-05-10
Michael Jackson,1,2015-05-17
Michael Jackson,2,2015-05-24
Michael Jackson,1,2015-05-31
Michael Jackson,1,2015-06-07
Michael Jackson,0,2015-06-14
Mitch McConnell,1,2015-02-15
Mitch McConnell,3,2015-02-22
Mitch McConnell,0,2015-03-01
Mitch McConnell,1,2015-03-08
Mitch McConnell,1,2015-03-15
Mitch McConnell,2,2015-03-22
Mitch McConnell,0,2015-03-29
Mitch McConnell,1,2015-04-05
Mitch McConnell,0,2015-04-12
Mitch McConnell,0,2015-04-19
Mitch McConnell,0,2015-04-26
Mitch McConnell,0,2015-05-03
Mitch McConnell,3,2015-05-10
Mitch McConnell,0,2015-05-17
Mitch McConnell,2,2015-05-24
Mitch McConnell,0,2015-05-31
Mitch McConnell,0,2015-06-07
Mitch McConnell,0,2015-06-14
Ben Affleck,1,2015-03-01
Ben Affleck,0,2015-03-08
Ben Affleck,0,2015-03-15
Ben Affleck,0,2015-03-22
Ben Affleck,0,2015-03-29
Ben Affleck,0,2015-04-05
Ben Affleck,1,2015-04-12
Ben Affleck,2,2015-04-19
Ben Affleck,2,2015-04-26
Ben Affleck,1,2015-05-03
Ben Affleck,1,2015-05-10
Ben Affleck,1,2015-05-17
Ben Affleck,1,2015-05-24
Ben Affleck,0,2015-05-31
Ben Affleck,1,2015-06-07
Ben Affleck,0,2015-02-22
Ben Affleck,0,2015-02-15
Ben Affleck,0,2015-06-14
Jesus,1,2015-03-01
Jesus,0,2015-03-08
Jesus,0,2015-03-15
Jesus,1,2015-03-22
Jesus,0,2015-03-29
Jesus,0,2015-04-05
Jesus,1,2015-04-12
Jesus,0,2015-04-19
Jesus,0,2015-04-26
Jesus,0,2015-05-03
Jesus,1,2015-05-10
Jesus,1,2015-05-17
Jesus,0,2015-05-24
Jesus,2,2015-05-31
Jesus,2,2015-06-07
Jesus,0,2015-02-22
Jesus,0,2015-02-15
Jesus,0,2015-06-14
Miles Davis,2,2015-02-15
Miles Davis,0,2015-02-22
Miles Davis,0,2015-03-01
Miles Davis,0,2015-03-08
Miles Davis,0,2015-03-15
Miles Davis,0,2015-03-22
Miles Davis,1,2015-03-29
Miles Davis,2,2015-04-05
Miles Davis,1,2015-04-12
Miles Davis,0,2015-04-19
Miles Davis,0,2015-04-26
Miles Davis,0,2015-05-03
Miles Davis,1,2015-05-10
Miles Davis,1,2015-05-17
Miles Davis,0,2015-05-24
Miles Davis,0,2015-05-31
Miles Davis,1,2015-06-07
Miles Davis,0,2015-06-14
Jon Stewart,2,2015-02-15
Jon Stewart,3,2015-02-22
Jon Stewart,0,2015-03-01
Jon Stewart,1,2015-03-08
Jon Stewart,0,2015-03-15
Jon Stewart,0,2015-03-22
Jon Stewart,1,2015-03-29
Jon Stewart,0,2015-04-05
Jon Stewart,3,2015-04-12
Jon Stewart,1,2015-04-19
Jon Stewart,1,2015-04-26
Jon Stewart,1,2015-05-03
Jon Stewart,2,2015-05-10
Jon Stewart,1,2015-05-17
Jon Stewart,1,2015-05-24
Jon Stewart,3,2015-05-31
Jon Stewart,0,2015-06-07
Jon Stewart,0,2015-06-14
Mike Pesca,2,2015-02-22
Mike Pesca,0,2015-03-01
Mike Pesca,0,2015-03-08
Mike Pesca,0,2015-03-15
Mike Pesca,0,2015-03-22
Mike Pesca,0,2015-03-29
Mike Pesca,0,2015-04-05
Mike Pesca,1,2015-04-12
Mike Pesca,0,2015-04-19
Mike Pesca,0,2015-04-26
Mike Pesca,4,2015-05-03
Mike Pesca,2,2015-05-10
Mike Pesca,2,2015-05-17
Mike Pesca,0,2015-05-24
Mike Pesca,1,2015-05-31
Mike Pesca,1,2015-06-07
Mike Pesca,0,2015-02-15
Mike Pesca,0,2015-06-14
Amy Poehler,1,2015-02-22
Amy Poehler,1,2015-03-01
Amy Poehler,0,2015-03-08
Amy Poehler,1,2015-03-15
Amy Poehler,0,2015-03-22
Amy Poehler,0,2015-03-29
Amy Poehler,0,2015-04-05
Amy Poehler,1,2015-04-12
Amy Poehler,0,2015-04-19
Amy Poehler,0,2015-04-26
Amy Poehler,0,2015-05-03
Amy Poehler,1,2015-05-10
Amy Poehler,0,2015-05-17
Amy Poehler,2,2015-05-24
Amy Poehler,0,2015-05-31
Amy Poehler,2,2015-06-07
Amy Poehler,2,2015-06-14
Amy Poehler,0,2015-02-15
David Foster,1,2015-05-10
David Foster,2,2015-05-17
David Foster,1,2015-05-24
David Foster,2,2015-05-31
David Foster,3,2015-06-07
David Foster,0,2015-05-03
David Foster,0,2015-04-26
David Foster,0,2015-04-19
David Foster,0,2015-04-12
David Foster,0,2015-04-05
David Foster,0,2015-03-29
David Foster,0,2015-03-22
David Foster,0,2015-03-15
David Foster,0,2015-03-08
David Foster,0,2015-03-01
David Foster,0,2015-02-22
David Foster,0,2015-02-15
David Foster,0,2015-06-14
Adam Smith,1,2015-02-15
Adam Smith,0,2015-02-22
Adam Smith,0,2015-03-01
Adam Smith,0,2015-03-08
Adam Smith,0,2015-03-15
Adam Smith,2,2015-03-22
Adam Smith,0,2015-03-29
Adam Smith,0,2015-04-05
Adam Smith,1,2015-04-12
Adam Smith,1,2015-04-19
Adam Smith,1,2015-04-26
